iter	Passed	Remaining
0	1	822
1	2	684
2	3	660
3	5	648
4	7	734
5	10	854
6	32	2271
7	38	2376
8	42	2323
9	65	3231
10	70	3112
11	72	2930
12	77	2897
13	80	2783
14	83	2711
15	86	2619
16	92	2639
17	95	2554
18	99	2523
19	114	2746
20	117	2669
21	120	2628
22	125	2593
23	128	2546
24	130	2470
25	132	2423
26	134	2354
27	135	2288
28	137	2230
29	138	2168
30	140	2122
31	141	2069
32	143	2025
33	144	1984
34	146	1949
35	148	1911
36	149	1874
37	150	1834
38	152	1799
39	153	1767
40	155	1740
41	156	1710
42	158	1680
43	159	1651
44	160	1622
45	161	1598
46	163	1576
47	165	1553
48	166	1531
49	167	1508
50	168	1486
51	170	1468
52	172	1453
53	173	1433
54	174	1415
55	176	1400
56	177	1382
57	181	1381
58	182	1365
59	184	1353
60	185	1338
61	187	1325
62	189	1312
63	190	1298
64	191	1284
65	193	1270
66	194	1256
67	195	1244
68	197	1234
69	199	1226
70	201	1215
71	204	1214
72	206	1206
73	208	1198
74	210	1192
75	211	1181
76	213	1171
77	214	1162
78	216	1152
79	217	1141
80	218	1131
81	220	1123
82	221	1114
83	224	1110
84	227	1109
85	229	1103
86	234	1113
87	237	1110
88	238	1101
89	240	1096
90	242	1089
91	244	1082
92	245	1075
93	247	1068
94	248	1060
95	251	1058
96	253	1053
97	254	1045
98	256	1040
99	258	1035
100	263	1041
101	268	1049
102	272	1051
103	286	1090
104	312	1174
105	338	1256
106	340	1250
107	342	1243
108	344	1235
109	345	1226
110	347	1217
111	350	1215
112	352	1206
113	353	1196
114	355	1188
115	356	1180
116	358	1174
117	360	1166
118	361	1157
119	362	1148
120	363	1139
121	364	1130
122	367	1127
123	370	1122
124	371	1114
125	372	1106
126	374	1099
127	375	1092
128	376	1084
129	378	1075
130	379	1067
131	381	1064
132	383	1057
133	384	1049
134	386	1044
135	388	1040
136	391	1037
137	393	1031
138	394	1025
139	396	1018
140	398	1014
141	400	1010
142	402	1005
143	405	1002
144	406	996
145	408	989
146	410	985
147	415	987
148	416	981
149	418	975
150	420	972
151	423	969
152	424	963
153	426	958
154	427	952
155	429	946
156	431	942
157	432	936
158	433	930
159	434	924
160	436	918
161	437	912
162	439	908
163	442	906
164	444	901
165	446	897
166	447	893
167	449	887
168	450	881
169	451	876
170	452	871
171	453	865
172	455	860
173	456	855
174	457	849
175	459	845
176	460	840
177	461	834
178	463	831
179	464	826
180	465	821
181	467	816
182	468	811
183	469	806
184	470	801
185	472	796
186	473	792
187	474	787
188	476	783
189	477	778
190	478	774
191	481	771
192	482	767
193	483	763
194	485	759
195	487	755
196	488	751
197	489	746
198	490	742
199	492	738
200	495	737
201	497	733
202	498	729
203	499	725
204	500	720
205	501	716
206	503	712
207	504	708
208	505	704
209	507	700
210	508	696
211	509	692
212	512	690
213	513	686
214	514	682
215	516	678
216	517	674
217	518	671
218	520	667
219	521	663
220	522	660
221	524	656
222	527	654
223	528	651
224	529	647
225	530	643
226	532	639
227	533	636
228	534	632
229	535	628
230	536	625
231	538	621
232	539	617
233	540	614
234	541	610
235	543	608
236	544	604
237	545	600
238	547	597
239	548	594
240	549	590
241	550	587
242	552	583
243	553	580
244	554	577
245	555	573
246	557	570
247	558	567
248	559	564
249	561	561
250	562	557
251	563	554
252	564	550
253	565	547
254	566	544
255	567	541
256	569	538
257	571	535
258	572	532
259	573	529
260	575	527
261	577	524
262	578	521
263	579	518
264	580	514
265	581	511
266	583	508
267	584	505
268	585	502
269	586	499
270	587	496
271	589	493
272	590	490
273	591	487
274	593	485
275	594	482
276	595	479
277	596	476
278	598	473
279	599	471
280	600	468
281	602	465
282	603	462
283	604	459
284	605	456
285	606	453
286	608	451
287	609	448
288	610	445
289	611	442
290	612	440
291	613	437
292	615	434
293	616	432
294	617	429
295	619	426
296	620	424
297	621	421
298	623	418
299	624	416
300	625	413
301	626	411
302	628	408
303	629	406
304	630	403
305	632	400
306	633	398
307	634	395
308	635	392
309	636	390
310	637	387
311	639	385
312	641	383
313	642	380
314	644	378
315	646	376
316	647	373
317	648	371
318	649	368
319	650	365
320	651	363
321	652	360
322	654	358
323	655	356
324	657	354
325	659	351
326	661	349
327	662	347
328	665	345
329	667	344
330	669	341
331	670	339
332	673	337
333	674	335
334	676	332
335	677	330
336	678	328
337	681	326
338	682	324
339	683	321
340	685	319
341	688	318
342	690	315
343	691	313
344	693	311
345	694	309
346	696	307
347	698	304
348	699	302
349	701	300
350	704	299
351	706	297
352	708	295
353	710	293
354	712	291
355	714	288
356	715	286
357	717	284
358	719	282
359	721	280
360	723	278
361	724	276
362	725	273
363	726	271
364	727	269
365	728	266
366	730	264
367	731	262
368	732	260
369	734	257
370	735	255
371	737	253
372	739	251
373	740	249
374	742	247
375	744	245
376	745	243
377	746	240
378	747	238
379	749	236
380	750	234
381	751	232
382	753	230
383	754	227
384	756	225
385	757	223
386	758	221
387	759	219
388	760	217
389	761	214
390	762	212
391	763	210
392	765	208
393	766	206
394	768	204
395	769	202
396	770	200
397	772	197
398	773	195
399	774	193
400	775	191
401	776	189
402	777	187
403	778	185
404	779	182
405	781	180
406	782	178
407	783	176
408	785	174
409	786	172
410	787	170
411	789	168
412	790	166
413	791	164
414	792	162
415	794	160
416	795	158
417	798	156
418	800	154
419	803	153
420	804	150
421	805	148
422	806	146
423	808	144
424	809	142
425	810	140
426	811	138
427	813	136
428	814	134
429	815	132
430	817	130
431	818	128
432	819	126
433	821	124
434	822	122
435	823	120
436	824	118
437	825	116
438	826	114
439	827	112
440	829	110
441	830	108
442	832	107
443	833	105
444	835	103
445	836	101
446	837	99
447	838	97
448	839	95
449	840	93
450	842	91
451	843	89
452	844	87
453	845	85
454	846	83
455	847	81
456	850	79
457	851	78
458	852	76
459	853	74
460	854	72
461	856	70
462	857	68
463	858	66
464	859	64
465	860	62
466	862	60
467	863	59
468	864	57
469	865	55
470	866	53
471	867	51
472	869	49
473	870	47
474	871	45
475	872	44
476	874	42
477	875	40
478	876	38
479	877	36
480	879	34
481	880	32
482	882	31
483	883	29
484	884	27
485	885	25
486	886	23
487	887	21
488	889	20
489	890	18
490	891	16
491	892	14
492	893	12
493	895	10
494	896	9
495	899	7
496	901	5
497	903	3
498	904	1
499	906	0
